Year,Volume_km3
2024,0.1045978488888889
2025,0.10099965017921149
2026,0.09740145146953406
2027,0.09380325275985665
2028,0.09020505405017924
2029,0.08660685534050183
2030,0.08300865663082442
2031,0.07941045792114701
2032,0.07581225921146958
2033,0.07221406050179217
2034,0.06861586179211476
2035,0.06501766308243734
2036,0.06141946437275992
2037,0.0578212656630825
2038,0.054223066953405084
2039,0.05062486824372766
2040,0.04702666953405024
2041,0.043428470824372824
2042,0.0398302721146954
2043,0.03623207340501798
2044,0.032633874695340556
2045,0.02903567598566314
2046,0.025437477275985717
2047,0.021839278566308296
2048,0.018241079856630878
2049,0.014642881146953458
2050,0.011044682437276038
2051,0.0074464837275986205
2052,0.0038482850179212013
2053,0.0002500863082437823
2054,0.0
